AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_EGRESSOS_ID_PESSOA,CONTAGEM_EGRESSOS_ID_PESSOA_PROGRAMA
2018,28,ECONOMIA,1209,1209
2018,29,"ARQUITETURA, URBANISMO E DESIGN",1199,1199
2018,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,695,695
2018,31,COMUNICAÇÃO E INFORMAÇÃO,1527,1529
2018,32,SERVIÇO SOCIAL,600,600
2018,33,FILOSOFIA,711,712
2018,34,SOCIOLOGIA,1109,1109
2018,35,ANTROPOLOGIA / ARQUEOLOGIA,516,516
2018,36,GEOGRAFIA,1303,1303
2018,37,PSICOLOGIA,2111,2111
2018,38,EDUCAÇÃO,5553,5553
2018,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,809,809
2018,40,HISTÓRIA,1827,1827
2018,41,LINGUÍSTICA E LITERATURA,4296,4296
2018,42,CIÊNCIAS AGRÁRIAS I,4585,4585
2018,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,534,534
2018,45,INTERDISCIPLINAR,6031,6040
2018,46,ENSINO,2560,2563
2018,47,MATERIAIS,526,526
2018,48,BIOTECNOLOGIA,1064,1064
2018,49,CIÊNCIAS AMBIENTAIS,2142,2142
2018,50,NUTRIÇÃO,463,463
2019,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1479,1479
2019,2,CIÊNCIA DA COMPUTAÇÃO,1813,1813
2019,3,ASTRONOMIA / FÍSICA,1306,1318
2019,4,QUÍMICA,1992,1992
2019,5,GEOCIÊNCIAS,1010,1010
2019,6,CIÊNCIAS BIOLÓGICAS I,1595,1595
2019,7,BIODIVERSIDADE,2345,2345
2019,8,CIÊNCIAS BIOLÓGICAS II,1477,1477
2019,9,CIÊNCIAS BIOLÓGICAS III,659,659
2019,10,ENGENHARIAS I,2430,2430
2019,11,ARTES,1194,1194
2019,12,ENGENHARIAS II,2320,2320
2019,13,ENGENHARIAS III,2824,2824
2019,14,ENGENHARIAS IV,2259,2259
2019,15,MEDICINA I,2436,2436
2019,16,MEDICINA II,1928,1928
2019,17,MEDICINA III,745,745
2019,18,ODONTOLOGIA,2411,2412
2019,19,FARMÁCIA,1132,1132
2019,20,ENFERMAGEM,1829,1830
2019,21,EDUCAÇÃO FÍSICA,1573,1573
2019,22,SAÚDE COLETIVA,2036,2036
2019,23,ZOOTECNIA / RECURSOS PESQUEIROS,1331,1331
2019,24,MEDICINA VETERINÁRIA,1724,1724
2019,25,CIÊNCIA DE ALIMENTOS,1009,1009
2019,26,DIREITO,3649,3649
2019,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",4260,4261
2019,28,ECONOMIA,1214,1214
2019,29,"ARQUITETURA, URBANISMO E DESIGN",1274,1274
2019,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,698,698
2019,31,COMUNICAÇÃO E INFORMAÇÃO,1631,1631
2019,32,SERVIÇO SOCIAL,611,611
2019,33,FILOSOFIA,897,897
2019,34,SOCIOLOGIA,1097,1097
2019,35,ANTROPOLOGIA / ARQUEOLOGIA,544,544
2019,36,GEOGRAFIA,1341,1341
2019,37,PSICOLOGIA,2291,2291
2019,38,EDUCAÇÃO,6020,6020
2019,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,961,961
2019,40,HISTÓRIA,1748,1748
2019,41,LINGUÍSTICA E LITERATURA,4608,4610
2019,42,CIÊNCIAS AGRÁRIAS I,4567,4567
2019,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,446,446
2019,45,INTERDISCIPLINAR,6248,6249
2019,46,ENSINO,3261,3261
2019,47,MATERIAIS,592,592
2019,48,BIOTECNOLOGIA,1018,1018
2019,49,CIÊNCIAS AMBIENTAIS,2177,2177
2019,50,NUTRIÇÃO,473,473
2020,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1225,1225
