AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,IN_REDE,SG_UF_PROGRAMA,CD_PROGRAMA_IES,NM_PROGRAMA_IES,DS_SITUACAO_PROGRAMA
2024,3,ASTRONOMIA / FÍSICA,NÃO,RJ,31001017118P9,ASTRONOMIA,EM FUNCIONAMENTO
2024,12,ENGENHARIAS II,NÃO,RJ,31001017033P3,ENGENHARIA NUCLEAR,EM FUNCIONAMENTO
2024,11,ARTES,NÃO,RJ,31001017175P2,DANÇA,EM FUNCIONAMENTO
2024,25,CIÊNCIA DE ALIMENTOS,NÃO,RJ,31001017112P0,CIÊNCIA DE ALIMENTOS,EM FUNCIONAMENTO
2024,26,DIREITO,NÃO,RJ,31001017130P9,DIREITO,EM FUNCIONAMENTO
2024,10,ENGENHARIAS I,NÃO,RJ,31001017171P7,ENGENHARIA AMBIENTAL,EM FUNCIONAMENTO
2024,15,MEDICINA I,NÃO,RJ,31001017044P5,MEDICINA (ENDOCRINOLOGIA),EM FUNCIONAMENTO
2024,11,ARTES,NÃO,RJ,31001017072P9,MÚSICA,EM FUNCIONAMENTO
2024,29,"ARQUITETURA, URBANISMO E DESIGN",NÃO,RJ,31001017172P3,DESIGN,EM FUNCIONAMENTO
2024,49,CIÊNCIAS AMBIENTAIS,NÃO,RJ,31001017145P6,CIÊNCIAS AMBIENTAIS E CONSERVAÇÃO,EM FUNCIONAMENTO
2024,16,MEDICINA II,NÃO,RJ,31001017049P7,MEDICINA (DOENÇAS INFECCIOSAS E PARASITÁRIAS),EM FUNCIONAMENTO
2024,50,NUTRIÇÃO,NÃO,RJ,31001017151P6,NUTRIÇÃO CLÍNICA,EM FUNCIONAMENTO
2024,21,"EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL",NÃO,RJ,31001017178P1,CIÊNCIAS DA REABILITAÇÃO,EM FUNCIONAMENTO
2024,5,GEOCIÊNCIAS,NÃO,RJ,31001017161P1,GEOCIÊNCIAS: PATRIMÔNIO GEOPALEONTOLÓGICO,EM FUNCIONAMENTO
2024,20,ENFERMAGEM,NÃO,RJ,31001017060P0,ENFERMAGEM,EM FUNCIONAMENTO
2024,35,ANTROPOLOGIA / ARQUEOLOGIA,NÃO,RJ,31001017125P5,ARQUEOLOGIA,EM FUNCIONAMENTO
2024,41,LINGUÍSTICA E LITERATURA,NÃO,RJ,31001017086P0,LETRAS NEOLATINAS,EM FUNCIONAMENTO
2024,19,FARMÁCIA,NÃO,RJ,31001017099P4,CIÊNCIAS FARMACÊUTICAS,EM FUNCIONAMENTO
2024,28,ECONOMIA,NÃO,RJ,31001017025P0,ECONOMIA DA INDÚSTRIA E DA TECNOLOGIA,EM FUNCIONAMENTO
2024,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",NÃO,RJ,31001017062P3,ADMINISTRAÇÃO,EM FUNCIONAMENTO
2024,13,ENGENHARIAS III,NÃO,RJ,31001017035P6,ENGENHARIA DE PRODUÇÃO,EM FUNCIONAMENTO
